navn,mængde,produkt_id
Diphenoxylate Hydrochloride and Atropine Sulfate,82.46,600
TOPIRAMATE,23.95,561
PureLight,44.29,593
Cystoges,7.07,508
Humco Calamine,90.77,547
KLEENEX Antibacterial Skin Cleanser,16.71,524
Ipratropium Bromide,18.9,556
Lisinopril,31.76,546
Halobetasol Propionate,48.71,553
Dermasil Sensitive,92.56,555
Minoxidil,60.03,546
Diltiazem Hydrochloride,98.95,570
Halibut,15.44,568
Dicyclomine,41.01,547
Crestor,64.48,564
Nystatin,97.75,573
Desipramine Hydrochloride,99.53,521
Bahia Grass,95.19,581
Terazosin Hydrochloride,25.55,597
EMBEDA,34.21,571
Lombardy Poplar,92.06,527
Liver Tonic,76.92,584
Flexitol Naturals Eczema and Psoriasis,43.69,567
CVS Extra Strength Pain Relief,44.97,542
Docusate Sodium,19.23,531
COUMADIN,51.21,552
Dust Mix Antigens,60.07,505
Amiodarone Hydrochloride,63.42,516
CVS Cold Sore Treatment,63.88,548
SOL LEON Sunscreen SPF 30,50.05,521
acyclovir,10.0,569
Nitrogen,25.01,576
CRIXIVAN,93.24,582
K-Loss,51.03,537
SambiFlu,15.75,592
Metformin Hydrochloride,63.63,557
Ibuprofen,15.22,595
Pain Relief,20.8,595
Metronidazole,44.44,524
CANDIDA ALBICANS,3.73,508
naproxen sodium,8.53,503
RETROVIR,90.48,560
Carbamazepine,18.62,572
ULTRA CORRECTION LINE REPAIR,2.95,502
Temazepam,44.14,569
Metformin Hydrochloride,34.97,501
Dextrose,93.59,596
Sheer Genius Liquid Foundation Dark Look,10.74,558
JUVISYNC,40.11,528
JIDESHENG HEMORRHOID,58.26,513
SKIN 79 The Prestige Beblesh Balm (40g),24.32,511
KLEENEX Luxury Foam E-2 Skin Cleanser,27.59,546
Prednisone,43.33,507
Isoniazid,33.36,554
PredniSONE,32.04,595
TK-NAX,21.2,591
Helium,4.86,563
Red Maple,43.86,598
Miconazole 3 Combination Pack,39.43,540
gynazole 1,36.39,549
Coconut Lime Anti-Bacterial Hand Sanitizer,83.47,591
Justice Vanilla ANTI BAC HAND SANITIZER,70.88,585
BETHKIS,66.52,570
Quinapril,46.52,585
AVANDAMET,87.55,546
Muscular Pain Relief,15.36,569
OralLine Secure,37.21,540
Spatherapy,53.21,584
Rhus tox. 1 Special Order,81.58,534
VECURONIUM BROMIDE,25.66,551
Bisolvine,54.53,540
DAY HYDRATOR,77.82,551
Miracle Plus Diabetic Homeopathic,59.31,517
Nighttime Sleep Aid,4.47,555
Senna,66.25,550
Safeway Instant Hand Sanitizing wipes,27.3,529
Bumetanide,28.5,541
ALLIUM CEPA,37.08,580
Tindazole,23.41,578
Selsun Blue Deep Cleansing Micro-Bead Scrub,77.85,564
Exchange Select Allergy Relief,71.07,540
PROSHIELD PLUS,16.3,541
Topcare ZZZ Sleep,64.08,563
Candesartan Cilexetil-Hydrochlorothiazide,2.87,508
LAURA GELLER spackle Broad Spectrum SPF 30 protective under make-up primer,49.94,502
TriAdvance,66.93,582
Triaminic,96.76,513
ANILINUM,72.13,533
Hydromorphone Hydrochloride,3.81,527
Naproxen Sodium,72.29,548
Glipizide,10.02,508
CAPTOPRIL,70.11,585
PENTACEL,52.15,518
Tetrofosmin,25.52,505
Ben E. Keith,49.67,516
butalbital, acetaminophen and caffeine,36.06,533
Pollens - Weeds and Garden Plants, Russian Thistle Salsola kali,28.8,566
MUSE,93.93,526
Amitriptyline Hydrochloride,72.09,520
Misoprostol,18.42,564
Fluconazole,62.2,580
levocetirizine dihydrochloride,94.8,574
PEGINTRON,54.79,532
HYPERICUM PERFORATUM,43.23,533
Rimmel London,50.0,570
Oxycodone Hydrochloride,38.41,522
ondansetron hydrochloride,10.97,564
Methocarbamol,63.69,535
Carbon Dioxide-Oxygen-Nitrogen Mixture,86.75,523
Pollens - Trees, Elm, Chinese Ulmus parvifolia,28.31,544
CLINIMIX E,72.13,577
Ceftriaxone,26.67,600
Ciprofloxacin,19.36,547
Quality Choice Daytime Severe Cold and Cough,62.42,534
Methylprednisolone,85.29,570
Lisinopril,39.29,597
Indomethacin,29.59,589
Rohto Cool,76.25,507
SanaTos Childrens Mucus Relief Cough,41.78,549
ALKERAN,99.85,582
pain relief,99.01,543
Digoxin,28.07,572
Hydrocodone Bitartrate and Homatropine Methylbromide,27.23,508
Metaxalone,44.46,539
Cattle Epithelium,27.14,559
HEB,31.0,522
Hydrocodone Bitartrate and Acetaminophen,30.82,573
Nitroglycerin Transdermal Delivery System,73.4,543
TOBRADEX,73.96,560
Warfarin Sodium,97.52,529
Clolar,55.36,510
Ultravist,19.74,573
Methyldopa,76.74,558
Carvedilol,87.08,528
Moore Medical Sinus Pain and Pressure Relief,35.49,574
Terazosin,98.98,568
Methocarbamol,40.45,527
DIORSNOW BB Creme 020 White Reveal UV Protection Sunscreen Broad Spectrum SPF 50,77.23,508
Ciprofloxacin,11.62,588
DERMAN ANTIFUNGAL,78.55,594
CLE DE PEAU BEAUTE CR COMPACT FOUNDATION,81.39,517
Levalbuterol,47.23,551
TONYMOLY FLORIA WHITENING ESSENCE,9.07,568
Osmitrol,14.29,503
Gentamicin Sulfate,19.09,523
Rejuvenate 2000 PM Formula For Men,94.02,520
Equisetum Formica,19.96,531
Neutrogena Ultra Sheer Body Mist,94.02,513
BHI Mucus,79.95,554
Eye Drops Regular,64.8,594
Progesterone Phenolic,56.24,530
cephalexin,95.24,556
LBEL NATURAL FINISH MOISTURIZING FOUNDATION SPF 25,54.45,555
Metformin Hydrochloride Extended Release,31.87,528
LISINOPRIL AND HYDROCHLOROTHIAZIDE,4.08,504
Skin antisepsis, oral cleansing, nasal antisepsis,79.98,503
Cheezheng Pain Relieving,15.85,517
Chlor-Trimeton 12 Hour,46.99,597
Rhus Toxicodendron,3.62,595
Benazepril Hydrochloride,9.69,571
Salmon,45.41,582
Banana Boat Sport Performance SPF 30 Canada,23.39,512
BANANA BOAT,88.68,539
Potassium Chloride,67.92,517
Marcaine,2.35,529
COZAAR,21.94,543
Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate,47.15,560
Fetzima,36.27,589
Advil,77.33,543
GUNA-COUGH,76.86,525
Corn Grass,10.59,571
Cephalexin,24.38,517
MARCS,89.62,524
NuLev,37.04,595
SHERO,35.12,565
ARTISS,3.36,596
Testosterone,65.13,507
Diovan,42.33,577
Hydroxychloroquine sulfate,84.78,588
Fluticasone Propionate,61.69,550
Candida Alb,74.96,581
Ropinirole Hydrochloride,48.27,529
Topcare stay awake,1.96,527
VioNex,29.75,571
Medique Alamag,14.68,552
Mirtazapine,23.94,520
Lorazepam,90.38,545
Epirubicin Hydrochloride,62.11,530
Venelex,17.03,542
Pramoxine hydrochloride,42.44,557
Atenolol,59.06,518
Neutrogena Nourishing Eye Quad,15.93,549
leader pain reliever,68.27,519
Ropinirole Hydrochloride,27.13,526
Folic Acid,57.53,596
ibuprofen,78.55,546
Ampicillin and Sulbactam,64.11,528
Adonis Crataegus,61.12,504
Vital Fluid I Platinum Anti Wrinkle Serum,42.56,594
HZ Formula,95.35,584
Propafenone Hydrochloride,73.73,566
NEUPOGEN,43.28,581
Ibandronate sodium,13.09,585
Meclizine Hydrochloride,89.11,571
Simvastatin,73.36,516
Dicyclomine Hydrochloride,7.88,533
BANANA BOAT,3.8,528
Mexiletine Hydrochloride,64.11,588
Pollens - Trees, Mulberry Mix,71.23,518
Phenobarbital Sodium,84.74,566
Levothyroxine Sodium,74.17,594
wal itin d,84.77,582
Terazosin Hydrochloride,74.31,544
Salt Grass,66.73,507
DAYTIME NIGHTTIME COLD/FLU,30.59,505
Promethazine Hydrochloride,44.7,540
Citalopram Hydrobromide,54.89,522
MOBARONA HAIR TONIC,16.73,504
BABY ANBESOL,15.65,551
Bupropion Hydrochloride,98.21,557
Moisturizing Lip BalmSPF30,44.3,543
NightTime Sleep Aid,57.99,570
Mirtazapine,12.26,547
Velvet Grass,3.21,540
Buspirone Hydrochloride,49.77,591
Treatment Set TS332594,16.3,593
Ciclopirox Olamine,26.03,503
Ciclopirox,27.75,593
Surfers Skin Sunscreen,24.67,523
Basil and Plum Antibacterial Foaming Hand Wash,40.76,539
Berberis Larix,93.13,534
Quetiapine Fumarate,49.0,554
Solar Protection Formula SPF 60 Tinted Concealer - (Beige),43.91,582
NAAMAN,79.29,545
Clotrimazole,78.64,582
Oxygen,9.74,569
Nortriptyline Hydrochloride,70.46,569
ropinirole,51.67,506
Gambil Oak,84.2,517
Haloperidol,28.16,567
Montelukast Sodium,74.01,576
MATTE MOISTURE TINT SUNSCREEN BROAD SPECTRUM SPF 15,46.07,564
Chlorzoxazone,60.65,540
Acthrel,76.93,513
Eco,31.25,526
Tandem OB,6.31,519
OXYCODONE AND ACETAMINOPHEN,78.46,523
Isoniazid,60.34,570
Ribavirin,4.5,549
Clean All,37.86,546
AURUM METALLICUM,95.76,518
Metformin Hydrochloride,91.09,547
HYDROCODONE BITARTRATE AND ACETAMINOPHEN,98.97,589
Anti-Bacterial Gentle Foaming Hand,99.73,559
Trihexyphenidyl Hydrochloride,95.42,516
Morphine Sulfate,63.09,520
Levothyroxine Sodium,66.49,558
Zilactin-B,23.53,551
MegaFresh Antibacterial Deodorant,3.13,529
Amiodarone HCl,17.76,534
Island Banana Antibacterial Foaming Hand Wash,48.84,558
SENSAI FLUID FINISH LASTING VELVET FV205,89.77,506
Elgin Pain Relief,57.53,585
Lemon Verbena Antibacterial Hand Wash,33.93,536
Ondansetron,27.05,570
Ferralet 90,52.16,564
Hand Sanitizing wipes,95.02,540
OXALIPLATIN,98.52,507
Rite Aid Ultimate Sheer,43.95,512
Idole Beauty,77.28,538
ck one waterfresh face makeup spf 15,65.27,570
urocit-k,91.66,518
FAMOTIDINE,58.79,505
Antacid Antigas Maximum Strength,30.11,511
ATOPALM Hemorrhoidal,74.54,520
Gehwol Fusskraft Nail and Skin Protection,9.87,540
Midazolam Hydrochloride,15.76,509
Buprenorphine hydrochloride and naloxone hydrochloride dihydrate,25.38,515
Naproxen,29.3,587
SUPER CREME SOLAIRE CORPS Body sun care,84.03,530
PRAVASTATIN SODIUM,65.91,533
Acetone Alcohol,12.82,584
Childrens Ibuprofen,55.9,507
Alprazolam,22.24,572
Chelidonium Ferro 3,42.2,529
ANTIDANDRUFF,16.97,592
Cough and Cold,10.88,536
Milk of Magnesia Wild Cherry,18.77,547
Timolol Maleate,6.08,592
Potassium Chloride in Dextrose and Sodium Chloride,68.32,599
Divalproex Sodium,63.52,587
Pear,85.14,564
Senior B,40.22,570
KLEENFOAM,37.75,562
Hydralazine Hydrochloride,52.59,559
Calcitrene,59.98,501
MECLIZINE HYDROCHLORIDE,89.59,543
PharMax Nerve,30.62,513
Sore Throat,15.63,506
Isopropyl alcohol,52.87,531
Carboplatin,31.16,589
CENTER-AL - POPULUS DELTOIDES SSP. MONILIFERA POLLEN,47.53,600
Hydrogen Peroxide,50.37,551
Terazosin Hydrochloride,80.15,570
Stool Softener,7.22,579
Bouton,22.41,574
Smart Sense NightTime Cold and Flu,50.1,563
ENDOCET,14.45,544
PRADAXA,64.41,582
Original Texture, Orange Flavor,50.16,501
Thyme,72.99,513
Nutricel Additive Solution - AS-3,72.84,539
Tri-Vit with Fluoride Drops,20.19,578
Big Lots,41.33,599
Neova Day Therapy,35.01,509
Therapeutic,59.09,592
pravastatin sodium,49.37,512
Nabumetone,11.93,576
DOXEPIN HYDROCHLORIDE,33.06,540
CalmaFX,44.59,523
Sertraline Hydrochloride,83.69,585
Ready Foundation,24.73,593
Morphine Sulfate,21.91,521
Pioglitazone Hydrochloride and Metformin Hydrochloride,28.69,543
PiGe ll Real Skin Mask Pack,29.68,548
ziprasidone hydrochloride,47.55,589
PENTOXIFYLLINE,44.61,590
Oxygen,77.12,565
ABROTANUM,69.35,597
Obao Piel Delicada,65.27,511
Lisinopril,73.91,569
Oxcarbazepine,25.8,541
Mineral Beauty Balm,37.57,507
NITROSTAT,76.68,568
Crest 3D White,92.95,556
misoprostol,28.51,551
Glucagon,42.27,564
Rexall Maximum Strength Hemorrhoidal,29.14,589
Dextrose,49.39,590
Xenazine,31.59,544
Soothix Acne Treatment and Blemish Prevention Formula,61.63,573
Jantoven,26.05,570
Lyrica,25.01,540
Progena,76.48,547
TRUVADA,24.44,531
Gabapentin,62.33,595
Food - Fish and Shellfish, Shrimp Crago sp.,30.81,583
Oxybutynin Chloride,20.56,543
Lady Speed Stick,22.0,503
Potassium Chloride,44.54,583
FORTAZ,70.52,504
Aller-Tox 1,24.16,513
Antiseptic Mouth Rinse,55.7,574
Alprazolam,45.06,561
Ropinirole Hydrochloride,68.72,587
Metoprolol Succinate,91.18,533
ORRIS ROOT,56.5,512
LypSyl Vanilla Plum,57.96,526
care one nicotine,54.32,538
RE9 Advanced,62.84,542
Omeprazole,29.07,595
albuterol sulfate,10.33,556
BELSOMRA,79.81,513
Wash-Up Towelette,25.88,542
ULMUS PUMILA POLLEN,63.71,503
Verapamil Hydrochloride,74.19,518
miconazole 1,77.6,521
Homeopathic Athletes Foot,31.62,581
Ondansetron Hydrochloride,8.53,535
LBEL COULEUR LUXE AMPLIFIER XP,24.76,585
hemorrhoidal,45.49,511
Orasep,3.56,530
Petroleum Jelly,96.26,542
Potassium Chloride,64.01,597
Avocado Antibacterial Hand Wash,17.78,600
Fenofibrate,86.48,536
Flulaval Quadrivalent,71.69,539
Stool Softener,86.79,544
Acacia,51.83,590
BUMINATE,5.86,541
DR.Fresh Kids Pediatric,50.6,531
Vax,48.81,507
BareMinerals Faux Tan,4.69,511
Select Brand Sunscreen,94.75,576
Tendon Rescue,8.62,546
Amoxicillin,44.97,524
Fexofenadine,84.91,568
Montelukast Sodium,39.34,584
Metoprolol Tartrate,27.08,539
Cataracts,82.23,524
DEMEROL,25.96,577
nicorelief,32.18,560
Leukine,68.09,536
amlodipine besylate,73.6,562
DAYWEAR,53.3,539
Ibuprofen,56.16,518
RAPAFLO,77.5,561
ZERIT,55.04,596
Cilostazol,46.73,572
E.E.S.,3.49,592
Lomedia 24 Fe,86.78,573
CHENOPODIUM AMBROSIOIDES POLLEN,92.78,600
Phentermine Hydrochloride,87.11,584
Clarithromycin,88.14,564
Oxygen,34.75,600
care one acid reducer,86.3,600
Amoxicillin,26.27,524
Smart Sense Triple Antibiotic,16.39,510
DIGOX,95.6,504
Pollens - Trees, Bottlebrush, Callistemon spp.,99.56,522
Skintegrity Antibacterial Hand,50.27,547
Calamine,71.26,507
Lucky Super Soft,61.9,580
Morphine Sulfate,41.4,588
Cardizem LA,90.76,559
Cold Remedy,72.28,528
Stomach Flu Fighter,40.48,554
Haddock,10.29,549
Indomethacin,13.38,574
Acetaminophen,64.71,569
Nasal Decongestant PE,51.63,557
Aller-Detox Caffeine,36.44,579
RoC Retinol Correxion Deep Wrinkle Daily Moisturizer,19.63,568
tizanidine hydrochloride,39.53,546
Boy Butter,62.15,542
Citalopram Hydrobromide,14.64,541
Spironolactone,49.96,527
Divalproex Sodium,81.21,537
VERSACLOZ,77.94,545
Allergy,87.78,518
Cuprum Metallicum Kit Refill,46.88,600
Fluocinolone Acetonide,29.26,561
Mouth Rinse,94.87,580
oxygen,38.39,519
RHEUMATISM, NAUSEA,17.78,550
Clorox CareConcepts Perineal Cleansing,72.54,544
Galantamine,49.09,568
Diclofenac Sodium,60.07,521
Donnatal,57.19,549
Crest Pro-Health,22.2,599
Naratriptan Hydrochloride,36.59,598
Verapamil Hydrochloride,16.87,510
Quetiapine fumarate,10.99,544
Nutricel Additive Solution - AS-3,17.67,566
Aveeno Active Naturals Positively Ageless Correcting Tinted Moisturizer,62.54,597
Levetiracetam,52.04,600
Humco Calamine,93.54,527
Atenolol,69.55,583
CAREONE,85.85,501
Prometrium,54.12,593
ZOOBY,8.96,565
Calcitriol,73.06,599
Alprazolam,5.86,568
LEVOTHYROXINE SODIUM,33.1,511
Lexiscan,65.71,574
Baby Teething Oral Pain Reliever,18.55,526
Hazelnut Pollen,20.59,553
Allergy Relief D,30.99,587
HAND-E-FOAM,58.27,528
Lotemax,17.26,554
SymlinPen,80.85,586
Arnica Aurum Equisetum,24.93,538
Lidocaine Hydrochloride and Hydrocortisone Acetate,8.1,593
Trazodone Hydrochloride,30.43,551
UltrasolSunscreen,86.52,550
OBAGI-C RX SYSTEM SUN SHIELD BROAD SPECTRUM SPF 50,3.36,585
Dust, House Mixture,39.31,576
Potassium Chloride,5.72,561
Well at Walgreens Anti-Itch,65.24,588
Female Libido,98.91,598
Salicylic acid,12.25,578
Valsartan and hydrochlorothiazide,4.84,580
Blues - Mood Support,17.92,548
CVS Pharmacy Sunscreen SPF 45,5.16,573
RUE21 Ocean Breeze Antibacterial Hand Sanitizer,30.31,567
Dextrose,74.27,527
Colocort,71.56,578
Naproxen,86.46,536
Propranolol Hydrochloride,90.08,527
LOreal Paris Visible Lift Blur Foundation Broad Spectrum SPF 18 Sunscreen,17.21,564
Venlafaxine Hydrochloride,34.42,576
TEMODAR,53.7,598
Treatment Set TS331802,67.22,508
SPF 30,99.77,514
Lymphomyosot,81.17,539
Jurlique Purely Sun-Defying,66.79,516
Sensodyne,29.16,509
Rocky Mountain Juniper,91.09,523
SHISEIDO SHEER MATIFYING COMPACT (REFILL),45.58,515
Minral Oil,33.77,554
Ibuprofen,86.18,559
ZOMIG,84.65,576
INVEGA SUSTENNA,64.86,526
Hydrocodone Bitartrate and Acetaminophen,59.96,542
Metoclopramide,95.32,574
Cialis,70.66,551
Oxycodone and Acetaminophen,34.44,542
Trulicity,76.09,523
Zeasorb,20.12,599
VERELAN,34.09,597
FoamFresh Healthcare Hand Wash,63.75,567
Oxygen,81.73,574
Diabetes,1.29,548
Lisinopril,44.86,513
Ibuprofen,26.23,600
Salmon,71.65,596
ANTIBACTERIAL FOAMING,78.24,521
Stool Softener,67.07,511
Clearskin,46.31,556
BENZTROPINE MESYLATE,47.8,564
Cherry Plum,42.89,584
Azathioprine,38.26,509
Walgreens Pain Relieving for Boils,95.63,588
SUNMARK ALLERGY RELIEF,19.0,576
Major Povidone Iodine,81.12,501
Degree,57.34,513
Lisinopril,96.65,516
Codeine Sulfate,56.34,594
Lamotrigine,32.62,547
NEUROTOX,97.42,520
Eprosartan Mesylate,24.65,595
Campath,19.77,535
Ofloxacin,95.12,571
OHUI SUN SCIENCE Perfect Sunblock black EX plus,84.29,537
Clonazepam,86.07,577
Methazolamide,17.7,587
Slimming Sap Patch,87.11,594
D3 Organ Support,42.2,541
Ketorolac Tromethamine,31.71,514
ESIKA Perfect Match,27.7,520
Sun Shades Lip Balm,68.51,549
Be gone Bruises and Bumps,84.06,555
Testosterone,23.92,540
Mesna,67.65,529
Eight Hour Cream Targeted Sun Defense SPF 50,56.99,556
Ibuprofen,7.07,564
Azithromycin,31.36,598
fondaparinux sodium,29.0,540
Shopko Bacitracin Zinc,97.67,506
Dexmethylphenidate Hydrochloride,98.25,599
NIGHTTIME SLEEP AID Maximum Strength,67.39,531
Selegiline Hydrochloride,57.26,523
SENSODYNE,71.61,560
CHENOPODIUM ALBUM POLLEN,55.86,551
Lite nFoamy Lemon Blossom Hand Sanitizer,18.02,525
Ciprofloxacin Hydrochloride,95.39,516
WHITE MALLOW DIAPER RASH CREAM,60.21,596
Gabapentin,64.56,527
BETULA ALBA JUICE BB,68.87,588
Healing Waters White Tea Pear Hand Sanitizer,80.82,565
SHISEIDO BENEFIANCE WRINKLERESIST24 DAY,41.12,541
Full Care Three Povidone Iodine Swabsticks,27.01,515
islander spf6,42.96,554
Oxymorphone Hydrochloride,99.33,543
Terbinafine Hydrochloride,16.11,561
Safeway,57.78,563
Metoprolol Tartrate,68.75,550
YES TO GRAPEFRUIT CC CREAM - LIGHT,59.86,514
Spearmint,33.98,598
Fluconazole,82.03,566
Formaldehyde,56.84,529
Coffea cruda,14.96,552
ATACAND HCT,2.22,559
Anti-Bacterial Gentle Foaming Hand,14.38,595
pain and fever,56.48,593
Loperamide Hydrochloride,50.29,521
Pramipexole Dihydrochloride,25.95,550
Privigen,60.06,510
LBEL EFFET PARFAIT Spots Reducing Effect Foundation SPF 18 - MEDIUM 6B,16.1,564
Mupirocin,3.38,530
care one eye itch relief,59.35,549
MK Alcohol Prep Pads Large,51.63,524
Levetiracetam,89.17,523
Mycophenolic Acid,28.27,523
Anti-bacterial Hand,64.66,545
Disney PIXAR Toy Story Antiseptic Hand Cleansing Berry Scented,70.75,594
Minocycline Hydrochloride,60.76,537
CENTER-AL - PLANTAGO LANCEOLATA POLLEN,5.8,532
Trexall,41.11,515
Oxygen,70.42,517
Losartan Potassium,66.34,562
Ithurts,77.68,568
Isopropyl Alcohol,11.44,552
Shopko Chest Congestion Relief,48.75,509
Trihexyphenidyl Hydrochloride,43.94,562
Perform,36.0,551
Tandem - F,30.74,544
Naproxen Sodium,61.64,523
Lyrica,78.0,583
Ramipril,14.67,599
Virx,28.35,600
TetraStem,68.92,552
Azilect,16.23,523
sunmark,92.73,539
Levothyroxine Sodium,26.62,586
Neomycin and Polymyxin B Sulfates and Dexamethasone,27.77,513
Vichy Laboratoires Normaderm Daily Deep Cleansing,24.62,545
Fiorinal,3.46,528
Warfarin Sodium,20.46,582
Nu Skin,23.65,502
Oxymorphone Hydrochloride,34.12,552
Citalopram,10.36,539
Meropenem,14.47,593
Propylthiouracil,64.18,541
Pollens - Weeds and Garden Plants, Pigweed, Rough Redroot Amaranthus retroflexus,2.43,550
Captopril,20.44,598
Metoprolol Tartrate,35.91,590
Acetylcysteine,44.82,576
methylphenidate hydrochloride CD,26.22,503
3M Avagard Foaming Instant Hand Antiseptic,74.33,545
CARBIDOPA AND LEVODOPA,71.92,573
Propranolol Hydrochloride,68.21,504
CEFTRIAXONE,92.08,515
Glipizide XL,61.32,595
DawnMist,12.37,599
Lidocaine HCl - Hydrocortisone Acetate,7.2,543
SnowSkin Face Sunscreen,66.73,588
Povidone Iodine,43.51,535
Etodolac,75.54,543
Cold-EEZE,56.19,595
WHP Be gone Constipation,93.68,542
good sense hemorrhoidal,53.83,554
Pure Transformation Sheer Medium,98.88,570
X3 Clean,2.17,514
CycloSPORINE,72.77,519
Type 3 Sinus Regular,19.41,528
Head and Shoulders,50.9,545
Olanzapine,68.2,504
REVITALIZING C I2PL MASK,72.1,566
Estradiol Transdermal System,86.74,539
hope in a jar,8.37,597
Nortriptyline Hydrochloride,33.41,511
Nisoldipine,47.3,524
metolazone,54.29,529
Fungus Fighter,65.05,573
NYSTATIN,50.45,547
Cephalosporium,11.24,544
Blur Relief,90.95,520
Amlodipine Besylate,91.21,579
Rite Aid Original Strength Vagicaine,45.98,506
Atrovent,90.16,506
Oxilan,64.86,535
ClindaMax Lotion,64.83,514
Nitroglycerin Transdermal Delivery System,82.23,511
ibuprofen,40.53,548
Bactoshield,90.94,551
PREP AND PRIME BLEMISH CONTROL ACNE TREATMENT,1.16,531
Cabbage,39.73,546
wal fex allergy,90.78,520
Theraflu,39.4,556
DILTIAZEM HYDROCHLORIDE,66.94,582
Allergy Medicine,11.69,543
Pain ReliefPatches,55.68,522
Triaminic,13.72,545
Metalogin,20.96,547
Nalfon,13.69,566
Bupropion Hydrochloride,33.07,564
Red Cedar,83.28,517
CLE DE PEAU BEAUTE CR COMPACT FOUNDATION,20.1,591
Wild Yam Ginger Snoring,86.65,573
Anxiety Relief,32.02,517
Nutmeg,27.37,559
Acyclovir,72.21,600
RED GINSENG FERMENTED,85.98,550
Intense Care Snail ampoule,6.21,555
Prazosin Hydrochloride,15.21,564
biochemistry PAIN RELIEF FOOT ACTIVE,10.26,560
Escitalopram Oxalate,99.93,569
Androderm,46.08,598
Sodium Bicarbonate,2.61,596
Anti Aging Vitamin Complex,32.05,584
ZIMS ADVANCED HYDROCORTISONE CONTINUOUS WITH ORGANIC ARNICA AND ALOE,41.08,505
Tussin CF,88.4,582
E-Z-Dose with Liquid Polibar Plus,92.7,536
Roll On Anti-Perspirant Deodorant,4.31,536
Intensive Healing Anti Itch,81.74,510
Wellness4Cough Syrup,13.93,562
Western Family Broad Spectrum Sunscreen,61.13,506
Hydroxyzine Pamoate,62.19,508
LOTEMAX,43.09,538
Doxorubicin Hydrochloride,61.0,600
tizanidine hydrochloride,9.01,556
Verapamil Hydrochloride,11.35,545
CC,14.28,536
Desmopressin Acetate,2.07,565
Allergy Relief,99.18,550
Carbatrol,88.83,581
Duloxetine,72.14,513
Synthroid,45.22,590
Ecolab,22.63,541
SALSOLA KALI POLLEN,45.35,565
Clonidine,24.3,519
Sudafed 12 Hour,97.56,576
mally Lip Defender,79.41,523
Lipitor,22.55,569
Cyclobenzaprine Hydrochloride,54.4,543
Yasmin,21.05,563
Furosemide,82.66,524
Povidone Iodine,15.4,594
BEEVENOM MASK SHEET,99.71,583
Evzio,48.93,565
Gallbladder Dr.,59.77,599
Antiseptic,88.23,591
ENALAPRIL MALEATE,3.33,590
AMOREPACIFIC,21.38,551
Propranolol Hydrochloride,59.27,584
Mentholatum Ironman,32.89,579
Diclofenac Sodium and Misoprostol,3.01,564
Lamivudine and Zidovudine,81.27,564
Hydrocortisone,19.32,504
Magnacet,40.29,586
Next Choice,57.4,527
OXYGEN,23.17,567
Desmopressin Acetate,28.31,520
Spongatos,19.05,503
phendimetrazine tartrate,72.08,533
Pioglitazone,42.7,525
miconazole 3,35.18,585
Avalon Organics Baby Protective Zinc Diaper Balm,13.33,514
Valproate Sodium,95.59,506
Warfarin Sodium,6.3,535
Beefwood/Australian Pine,60.65,528
Leucovorin Calcium,80.41,553
Cephalexin,43.04,534
Enoxaparin Sodium,55.83,569
Nisoldipine,7.82,533
LEADER LUBRICANT EYE DROPS,4.18,562
Mirtazapine,45.19,594
amoxicillin and clavulanate potassium,27.84,578
LES BEIGES,78.55,513
ALTERNARIA TENUIS ALTERNATA,52.14,556
MUCINEX,56.34,568
Presgen,81.51,517
Dr Smiths Diaper Rash,7.38,531
Lyrica,71.53,570
lisinopril,32.23,539
DELTUSS DP Nasal Decongestant Antihistamine CHERRY Flavor,66.06,588
Time Machine BB,1.85,561
SUPERDEFENSE DAILY DEFENSE MOISTURIZER BROAD SPECTRUM SPF20 (VERY DRY - DRY COMB),83.08,559
Date,52.15,521
BIDEX-400,33.46,589
SINEMET,66.0,540
NALOXONE HYDROCHLORIDE,68.16,518
Walgreen Vanishing Scent Muscle and Joint,59.85,564
Neurontin,99.94,501
LBEL COULEUR LUXE AMPLIFIER XP,77.37,552
No7 Stay Perfect Foundation Sunscreen SPF 15,78.7,550
Levetiracetam,71.0,518
Betamethasone Dipropionate,68.29,564
Reed Canary Grass,69.61,538
XtraCare Instant Hand Sanitizer,51.32,586
dg health sinus,33.9,576
FLOVENT,60.01,581
White Hickory,52.22,546
No7 Stay Perfect Foundation Sunscreen SPF 15 Mocha,12.06,595
Aconitum e tub. 30,48.77,512
Tropical Vanilla Body Sunscreen Broad Spectrum SPF 32,84.78,514
Pepto-Bismol,78.12,594
good sense severe cold,62.25,506
Vancomycin HCl,38.45,593
Ibuprofen,79.75,581
METOPROLOL SUCCINATE,67.62,576
Olanzapine,56.17,567
Phenytoin Sodium,91.74,557
DiorSkin Nude 050 Dark Beige,6.65,590
Nux Vomica Kit Refill,69.8,536
Aloe Vesta Clear Antifungal,12.35,584
Health Mart Gas Relief,7.0,502
Instant Hand Sanitizer,55.67,537
Ketorolac Tromethamine,83.68,571
ENJUVIA,46.39,575
Antipyrine and Benzocaine,94.98,600
Chlorhexidine Gluconate 0.12% Oral Rinse,77.91,508
Oxaprozin,6.06,504
Certus BZK Antiseptic Towelette,77.62,503
Fresh Herbs Antibacterial Foaming Hand Wash,88.42,573
Bumetanide,85.75,554
clonidine hydrochloride,56.71,521
Haloperidol,36.05,574
